,PseudoTime
H9_00hb4s_001,0.0299450323007643
H9_00hb4s_002,0.0152372538118084
H9_00hb4s_003,0.0645901883217625
H9_00hb4s_004,0.0257020043970422
H9_00hb4s_005,0.0843445693940419
H9_00hb4s_006,0.094989595074951
H9_00hb4s_007,0.0749885918478294
H9_00hb4s_008,0.00899127680200001
H9_00hb4s_009,0.0342167580910402
H9_00hb4s_010,0.0596717785199384
H9_00hb4s_011,0.0693428412015011
H9_00hb4s_012,0.0151894640240911
H9_00hb4s_013,0.00179379118222699
H9_00hb4s_015,0.0103221342152458
H9_00hb4s_016,0.0931560624877596
H9_00hb4s_017,0.00852667550889929
H9_00hb4s_018,0.0560106646584049
H9_00hb4s_019,0.00468653049259153
H9_00hb4s_020,0.00809230350874645
H9_00hb4s_021,0.0122970721007758
H9_00hb4s_022,0.00131619852503343
H9_00hb4s_023,0.00760962832922001
H9_00hb4s_024,0.00585113573888743
H9_00hb4s_025,0.00669635778412789
H9_00hb4s_026,0.00502708727751401
H9_00hb4s_027,0.0503747139411107
H9_00hb4s_028,0.0142487812254179
H9_00hb4s_029,0.00379919025325955
H9_00hb4s_030,0.00518785460734008
H9_00hb4s_031,0.0467633520452985
H9_00hb4s_032,0.00255267256056121
H9_00hb4s_033,0.0135625554711917
H9_00hb4s_034,0.00496824876238677
H9_00hb4s_035,0.00747210748553072
H9_00hb4s_036,0
H9_00hb4s_037,0.000250874764100249
H9_00hb4s_038,0.0779562331484689
H9_00hb4s_039,0.00054765922927606
H9_00hb4s_040,0.000383915611320647
H9_00hb4s_041,0.000677162999482655
H9_00hb4s_043,0.0226762670468868
H9_00hb4s_044,0.0344649667259502
H9_00hb4s_045,0.00300334584855548
H9_00hb4s_046,0.0101547036698151
H9_00hb4s_047,0.0177384465785228
H9_00hb4s_048,0.00094234669992819
H9_00hb4s_050,0.000715406067215541
H9_00hb4s_051,0.0411272017440611
H9_00hb4s_052,0.0129151921655784
H9_00hb4s_053,0.00279060045344131
H9_00hb4s_054,0.0210278356872299
H9_00hb4s_055,0.0153310332565429
H9_00hb4s_056,0.0122306818880135
H9_00hb4s_057,0.028171178518771
H9_00hb4s_058,0.00615245310301694
H9_00hb4s_059,0.0107042839308929
H9_00hb4s_060,0.00482460919850163
H9_00hb4s_061,0.0741348266147245
H9_00hb4s_062,0.0131272989478072
H9_00hb4s_063,0.0296562434471365
H9_00hb4s_064,0.0476727507870003
H9_00hb4s_065,0.00803562297024246
H9_00hb4s_066,0.00801679331782859
H9_00hb4s_067,0.00601863147160071
H9_00hb4s_068,0.0171659004684789
H9_00hb4s_069,0.0304049493487986
H9_00hb4s_070,0.0413895191935385
H9_00hb4s_071,0.00404076494385774
H9_00hb4s_072,0.00598168457762706
H9_00hb4s_073,0.07579501834979
H9_00hb4s_074,0.0307803964178319
H9_00hb4s_075,0.00885263201246308
H9_00hb4s_076,0.0306976419540754
H9_00hb4s_077,0.00999857613302746
H9_00hb4s_078,0.000664869028617319
H9_00hb4s_079,0.00932500077025394
H9_00hb4s_080,0.0080504579612158
H9_00hb4s_081,0.0615808178129817
H9_00hb4s_082,0.00716313091696183
H9_00hb4s_083,0.0196081893204668
H9_00hb4s_084,0.00901029299983088
H9_00hb4s_085,0.00304689585646478
H9_00hb4s_086,0.0177993348604152
H9_00hb4s_087,0.00641404860128663
H9_00hb4s_088,0.000146210535618719
H9_00hb4s_089,0.0872572730079889
H9_00hb4s_090,0.00914427113156932
H9_00hb4s_091,0.0537755329689685
